getpwuid_r did not find a match for uid 501
Filtering the log data using "subsystem == "com.MarkFriedlander.Reflect""
Timestamp               Ty Process[PID:TID]
2026-05-10 22:51:22.231 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #1 [curated] [Inversion] Begin at the end
2026-05-10 22:51:33.631 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #2 [curated] [Attention] Notice what you always overlook
2026-05-10 22:51:44.425 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #3 [curated] [Process] Follow what feels alive, not what feels correct
2026-05-10 22:51:46.727 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #4 [curated] [Courage] Ignore logic
2026-05-10 22:51:49.003 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #5 [curated] [Subtraction] Find the quietest version
2026-05-10 22:51:51.228 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #6 [curated] [Attention] Listen to the hum beneath the noise
2026-05-10 22:51:53.468 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #7 [curated] [Time] Walk backward into the future
2026-05-10 22:55:59.154 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #8 [curated] [Reality Check] What happens when you pause?
2026-05-10 22:59:12.530 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #9 [curated] [Acceptance] Make it feel accidental
2026-05-10 23:04:04.095 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #10 [curated] [Constraint] Use only what's already here
2026-05-10 23:07:35.914 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #11 [curated] [Reality Check] What are you avoiding?
2026-05-10 23:16:24.802 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #12 [curated] [Subtraction] Remove the expected
2026-05-10 23:20:57.670 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #13 [curated] [Courage] Resurrect something
2026-05-10 23:24:16.392 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #14 [curated] [Inversion] Tell the emotional lie
2026-05-10 23:29:05.995 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #15 [curated] [Perspective] Navigate by feeling rather than sight
2026-05-10 23:35:47.990 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #16 [curated] [Attention] What's too obvious?
2026-05-10 23:40:18.483 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #17 [curated] [Time] Unravel a memory backward
2026-05-10 23:42:50.933 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #18 [curated] [Inversion] Tell the opposite story
2026-05-10 23:45:24.987 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #19 [curated] [Constraint] Make it for someone who will never see it
2026-05-10 23:49:34.507 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #20 [curated] [Time] Start with a sound
2026-05-10 23:52:43.896 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #21 [curated] [Courage] What would you create if you couldn't fail?
2026-05-11 00:00:43.016 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #22 [curated] [Inversion] Tell it backward
2026-05-11 00:04:36.120 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #23 [curated] [Subtraction] Make the invisible tangible
2026-05-11 00:08:45.130 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #24 [curated] [Displacement] Tell it with a symbol
2026-05-11 00:12:35.469 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #25 [curated] [Attention] What is its shadow?
2026-05-11 00:16:28.241 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #26 [curated] [Constraint] Use a cliché
2026-05-11 00:19:56.035 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #27 [curated] [Attention] What's hiding in plain sight?
2026-05-11 00:21:20.143 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #28 [curated] [Constraint] Add something that doesn't belong
2026-05-11 00:25:41.007 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #29 [curated] [Process] Find the hidden door
2026-05-11 00:30:13.350 I  Reflect TV[68969:31db4f] [com.MarkFriedlander.Reflect:engine] card #30 [curated] [Reduction] Find the atom of it
